time,actualComX,actualComY,springLegDelta,Phase,footInBaseX,footInBaseY
0.001,0.138165,4.92169,0,0,0.65798,4.06031,
0.002,0.138037,4.92168,-5.15946e-05,0,0.656442,4.06049,
0.003,0.137781,4.92164,-0.000153016,0,0.653368,4.06086,
0.004,0.137525,4.9216,-0.000251208,0,0.650301,4.06123,
0.005,0.137269,4.92156,-0.000345928,0,0.647244,4.06161,
0.006,0.137015,4.92152,-0.00043717,0,0.644199,4.06198,
0.007,0.136761,4.92148,-0.000524929,0,0.641164,4.06235,
0.008,0.136508,4.92143,-0.0006092,0,0.63814,4.06272,
0.009,0.136256,4.92138,-0.000689977,0,0.635126,4.06309,
0.01,0.136004,4.92133,-0.000767255,0,0.632124,4.06346,
0.011,0.135753,4.92128,-0.000841029,0,0.629132,4.06383,
0.012,0.135503,4.92122,-0.000911295,0,0.626151,4.0642,
0.013,0.135254,4.92116,-0.000978049,0,0.62318,4.06457,
0.014,0.135005,4.9211,-0.00104129,0,0.620221,4.06493,
0.015,0.134757,4.92104,-0.001101,0,0.617272,4.0653,
0.016,0.13451,4.92098,-0.00115719,0,0.614334,4.06567,
0.017,0.134263,4.92091,-0.00120985,0,0.611406,4.06603,
0.018,0.134017,4.92084,-0.00125898,0,0.608489,4.0664,
0.019,0.133772,4.92077,-0.00130457,0,0.605583,4.06676,
0.02,0.133528,4.92069,-0.00134661,0,0.602688,4.06712,
0.021,0.133284,4.92062,-0.00138512,0,0.599803,4.06749,
0.022,0.133041,4.92054,-0.00142008,0,0.596929,4.06785,
0.023,0.132799,4.92045,-0.00145148,0,0.594065,4.06821,
0.024,0.132557,4.92037,-0.00147933,0,0.591212,4.06856,
0.025,0.132316,4.92028,-0.00150363,0,0.58837,4.06892,
0.026,0.132076,4.9202,-0.00152437,0,0.585538,4.06928,
0.027,0.131836,4.92011,-0.00154154,0,0.582717,4.06963,
0.028,0.131597,4.92001,-0.00155515,0,0.579906,4.06999,
0.029,0.131359,4.91992,-0.00156519,0,0.577106,4.07034,
0.03,0.131122,4.91982,-0.00157167,0,0.574317,4.07069,
0.031,0.130885,4.91972,-0.00157457,0,0.571538,4.07104,
0.032,0.130649,4.91962,-0.0015739,0,0.568769,4.07138,
0.033,0.130413,4.91951,-0.00156966,0,0.566011,4.07173,
0.034,0.130179,4.9194,-0.00156184,0,0.563263,4.07207,
0.035,0.129945,4.91929,-0.00155044,0,0.560526,4.07241,
0.036,0.129711,4.91918,-0.00153546,0,0.557799,4.07276,
0.037,0.129479,4.91907,-0.0015169,0,0.555082,4.07309,
0.038,0.129247,4.91895,-0.00149476,0,0.552376,4.07343,
0.039,0.129015,4.91883,-0.00146903,0,0.54968,4.07377,
0.04,0.128785,4.91871,-0.00143972,0,0.546994,4.0741,
0.041,0.128555,4.91859,-0.00140683,0,0.544319,4.07443,
0.042,0.128325,4.91846,-0.00137036,0,0.541654,4.07476,
0.043,0.128097,4.91833,-0.00133029,0,0.538999,4.07509,
0.044,0.127869,4.9182,-0.00128665,0,0.536355,4.07541,
0.045,0.127641,4.91807,-0.00123941,0,0.53372,4.07573,
0.046,0.127415,4.91793,-0.00118859,0,0.531096,4.07605,
0.047,0.127189,4.91779,-0.00113419,0,0.528482,4.07637,
0.048,0.126964,4.91765,-0.00107619,0,0.525878,4.07669,
0.049,0.126739,4.91751,-0.00101462,0,0.523285,4.077,
0.05,0.126515,4.91737,-0.000949456,0,0.520701,4.07731,
0.051,0.126292,4.91722,-0.000880711,0,0.518128,4.07762,
0.052,0.126069,4.91707,-0.000808381,0,0.515564,4.07793,
0.053,0.125847,4.91692,-0.000732469,0,0.513011,4.07823,
0.054,0.125626,4.91676,-0.000652976,0,0.510467,4.07853,
0.055,0.125405,4.9166,-0.000569902,0,0.507934,4.07883,
0.056,0.125185,4.91645,-0.000483249,0,0.50541,4.07913,
0.057,0.124965,4.91628,-0.000393017,0,0.502897,4.07942,
0.058,0.124747,4.91612,-0.00029921,0,0.500393,4.07971,
0.059,0.124528,4.91595,-0.000201827,0,0.497899,4.08,
0.06,0.124311,4.91578,-0.000100871,0,0.495415,4.08029,
0.061,0.124094,4.91561,3.65528e-06,0,0.492941,4.08057,
0.062,0.123878,4.91544,0.000111751,0,0.490477,4.08085,
0.063,0.123662,4.91526,0.000223414,0,0.488022,4.08113,
0.064,0.123447,4.91509,0.000338642,0,0.485578,4.0814,
0.065,0.123233,4.91491,0.000457433,0,0.483143,4.08167,
0.066,0.123019,4.91472,0.000579783,0,0.480717,4.08194,
0.067,0.122806,4.91454,0.000705691,0,0.478301,4.08221,
0.068,0.122594,4.91435,0.000835154,0,0.475895,4.08247,
0.069,0.122382,4.91416,0.000968168,0,0.473499,4.08273,
0.07,0.122171,4.91397,0.00110473,0,0.471112,4.08298,
0.071,0.12196,4.91377,0.00124484,0,0.468735,4.08324,
0.072,0.12175,4.91357,0.00138849,0,0.466367,4.08348,
0.073,0.121541,4.91338,0.00153568,0,0.464009,4.08373,
0.074,0.121332,4.91317,0.00168641,0,0.46166,4.08397,
0.075,0.121124,4.91297,0.00184067,0,0.45932,4.08421,
0.076,0.120916,4.91276,0.00199846,0,0.45699,4.08445,
0.077,0.120709,4.91255,0.00215978,0,0.45467,4.08468,
0.078,0.120503,4.91234,0.00232461,0,0.452358,4.08491,
0.079,0.120297,4.91213,0.00249296,0,0.450056,4.08514,
0.08,0.120092,4.91191,0.00266483,0,0.447764,4.08536,
0.081,0.119888,4.91169,0.0028402,0,0.44548,4.08558,
0.082,0.119684,4.91147,0.00301908,0,0.443206,4.0858,
0.083,0.11948,4.91125,0.00320146,0,0.440941,4.08601,
0.084,0.119278,4.91102,0.00338734,0,0.438686,4.08622,
0.085,0.119075,4.9108,0.00357671,0,0.436439,4.08643,
0.086,0.118874,4.91057,0.00376956,0,0.434202,4.08663,
0.087,0.118673,4.91033,0.0039659,0,0.431973,4.08683,
0.088,0.118473,4.9101,0.00416571,0,0.429754,4.08702,
0.089,0.118273,4.90986,0.004369,0,0.427543,4.08721,
0.09,0.118074,4.90962,0.00457575,0,0.425342,4.0874,
0.091,0.117875,4.90938,0.00478596,0,0.42315,4.08758,
0.092,0.117677,4.90913,0.00499963,0,0.420966,4.08776,
0.093,0.11748,4.90889,0.00521676,0,0.418792,4.08794,
0.094,0.117283,4.90864,0.00543732,0,0.416626,4.08811,
0.095,0.117086,4.90839,0.00566133,0,0.414469,4.08828,
0.096,0.116891,4.90813,0.00588877,0,0.412321,4.08844,
0.097,0.116695,4.90788,0.00611964,0,0.410182,4.0886,
0.098,0.116501,4.90762,0.00635393,0,0.408051,4.08876,
0.099,0.116307,4.90736,0.00659164,0,0.40593,4.08891,
0.1,0.116113,4.90709,0.00683276,0,0.403816,4.08906,
0.101,0.11592,4.90683,0.00707729,0,0.401712,4.08921,
0.102,0.115728,4.90656,0.00732521,0,0.399616,4.08935,
0.103,0.115536,4.90629,0.00757653,0,0.397529,4.08948,
0.104,0.115345,4.90602,0.00783123,0,0.39545,4.08962,
0.105,0.115154,4.90574,0.00808932,0,0.39338,4.08974,
0.106,0.114964,4.90546,0.00835077,0,0.391318,4.08987,
0.107,0.114775,4.90518,0.00861559,0,0.389265,4.08999,
0.108,0.114586,4.9049,0.00888378,0,0.38722,4.0901,
0.109,0.114397,4.90462,0.00915531,0,0.385183,4.09022,
