time,actualComX,actualComY,springLegDelta,Phase,footInBaseX,footInBaseY
0.001,0.138165,4.92169,0,0,0.65798,4.06031,
0.002,0.13811,4.92168,-2.1592e-05,0,0.657323,4.06039,
0.003,0.138001,4.92167,-6.37252e-05,0,0.656009,4.06054,
0.004,0.137891,4.92165,-0.000103813,0,0.654699,4.06069,
0.005,0.137782,4.92163,-0.000141809,0,0.653392,4.06085,
0.006,0.137674,4.92161,-0.000177713,0,0.652089,4.061,
0.007,0.137565,4.92158,-0.000211522,0,0.650789,4.06114,
0.008,0.137457,4.92155,-0.000243234,0,0.649493,4.06129,
0.009,0.137349,4.92153,-0.000272849,0,0.6482,4.06144,
0.01,0.137241,4.92149,-0.000300363,0,0.646911,4.06158,
0.011,0.137134,4.92146,-0.000325775,0,0.645625,4.06172,
0.012,0.137027,4.92143,-0.000349084,0,0.644343,4.06186,
0.013,0.13692,4.92139,-0.000370288,0,0.643064,4.06199,
0.014,0.136813,4.92135,-0.000389384,0,0.641788,4.06213,
0.015,0.136707,4.92131,-0.000406371,0,0.640516,4.06226,
0.016,0.136601,4.92127,-0.000421248,0,0.639248,4.06239,
0.017,0.136495,4.92122,-0.000434013,0,0.637983,4.06252,
0.018,0.136389,4.92117,-0.000444664,0,0.636721,4.06265,
0.019,0.136284,4.92112,-0.000453199,0,0.635463,4.06278,
0.02,0.136179,4.92107,-0.000459617,0,0.634209,4.0629,
0.021,0.136074,4.92102,-0.000463916,0,0.632957,4.06302,
0.022,0.135969,4.92096,-0.000466095,0,0.631709,4.06314,
0.023,0.135865,4.92091,-0.000466151,0,0.630465,4.06326,
0.024,0.135761,4.92085,-0.000464083,0,0.629223,4.06337,
0.025,0.135657,4.92079,-0.000459891,0,0.627986,4.06349,
0.026,0.135553,4.92072,-0.000453571,0,0.626751,4.0636,
0.027,0.13545,4.92066,-0.000445123,0,0.62552,4.06371,
0.028,0.135347,4.92059,-0.000434544,0,0.624292,4.06382,
0.029,0.135244,4.92052,-0.000421834,0,0.623067,4.06392,
0.03,0.135141,4.92045,-0.000406991,0,0.621846,4.06403,
0.031,0.135039,4.92037,-0.000390014,0,0.620628,4.06413,
0.032,0.134937,4.9203,-0.0003709,0,0.619414,4.06423,
0.033,0.134835,4.92022,-0.000349648,0,0.618202,4.06433,
0.034,0.134733,4.92014,-0.000326258,0,0.616994,4.06442,
0.035,0.134632,4.92006,-0.000300727,0,0.615789,4.06452,
0.036,0.134531,4.91998,-0.000273053,0,0.614588,4.06461,
0.037,0.13443,4.91989,-0.000243237,0,0.613389,4.0647,
