time,actualComX,actualComY,springLegDelta,Phase,footInBaseX,footInBaseY
0.001,0.138165,4.92169,0,0,0.65798,4.06031,
0.002,0.138165,4.92169,8.11236e-07,0,0.657979,4.06031,
0.003,0.138165,4.92169,3.24495e-06,0,0.657975,4.0603,
0.004,0.138164,4.92168,7.30118e-06,0,0.657968,4.0603,
0.005,0.138163,4.92168,1.298e-05,0,0.657959,4.06029,
0.006,0.138162,4.92167,2.02814e-05,0,0.657947,4.06029,
0.007,0.138161,4.92166,2.92055e-05,0,0.657933,4.06028,
0.008,0.13816,4.92164,3.97524e-05,0,0.657915,4.06027,
0.009,0.138158,4.92163,5.19223e-05,0,0.657896,4.06025,
0.01,0.138156,4.92161,6.57152e-05,0,0.657873,4.06024,
0.011,0.138154,4.92159,8.11315e-05,0,0.657848,4.06022,
0.012,0.138152,4.92157,9.81711e-05,0,0.657821,4.06021,
0.013,0.138149,4.92155,0.000116834,0,0.657791,4.06019,
0.014,0.138146,4.92152,0.000137121,0,0.657758,4.06017,
0.015,0.138144,4.92149,0.000159033,0,0.657722,4.06014,
0.016,0.13814,4.92146,0.000182568,0,0.657684,4.06012,
0.017,0.138137,4.92143,0.000207728,0,0.657643,4.06009,
0.018,0.138133,4.9214,0.000234514,0,0.6576,4.06006,
0.019,0.13813,4.92136,0.000262924,0,0.657554,4.06003,
0.02,0.138125,4.92133,0.00029296,0,0.657505,4.06,
0.021,0.138121,4.92129,0.000324622,0,0.657454,4.05997,
0.022,0.138117,4.92125,0.00035791,0,0.6574,4.05994,
0.023,0.138112,4.9212,0.000392825,0,0.657344,4.0599,
0.024,0.138107,4.92116,0.000429367,0,0.657285,4.05986,
0.025,0.138102,4.92111,0.000467537,0,0.657223,4.05982,
0.026,0.138097,4.92106,0.000507334,0,0.657159,4.05978,
0.027,0.138091,4.92101,0.00054876,0,0.657092,4.05974,
0.028,0.138085,4.92095,0.000591815,0,0.657022,4.05969,
0.029,0.138079,4.9209,0.0006365,0,0.65695,4.05965,
0.03,0.138073,4.92084,0.000682814,0,0.656875,4.0596,
0.031,0.138066,4.92078,0.000730759,0,0.656798,4.05955,
