time,actualComX,actualComY,springLegDelta,Phase,footInBaseX,footInBaseY
0.001,0.138165,4.92169,0,0,0.65798,4.06031,
0.002,0.138165,4.92169,8.48691e-07,0,0.65798,4.06031,
0.003,0.138165,4.92169,3.39477e-06,0,0.657979,4.0603,
0.004,0.138165,4.92168,7.63823e-06,0,0.657978,4.0603,
0.005,0.138165,4.92168,1.35791e-05,0,0.657976,4.06029,
0.006,0.138165,4.92167,2.12174e-05,0,0.657974,4.06028,
0.007,0.138164,4.92166,3.05532e-05,0,0.657972,4.06027,
0.008,0.138164,4.92164,4.15864e-05,0,0.657969,4.06026,
0.009,0.138164,4.92163,5.43171e-05,0,0.657966,4.06025,
0.01,0.138164,4.92161,6.87454e-05,0,0.657962,4.06023,
0.011,0.138163,4.92159,8.48713e-05,0,0.657958,4.06021,
0.012,0.138163,4.92157,0.000102695,0,0.657953,4.06019,
0.013,0.138162,4.92155,0.000122216,0,0.657948,4.06017,
0.014,0.138162,4.92152,0.000143435,0,0.657943,4.06014,
0.015,0.138161,4.9215,0.000166352,0,0.657937,4.06012,
0.016,0.138161,4.92147,0.000190967,0,0.657931,4.06009,
0.017,0.13816,4.92144,0.00021728,0,0.657924,4.06006,
0.018,0.13816,4.9214,0.00024529,0,0.657917,4.06003,
0.019,0.138159,4.92137,0.000274999,0,0.657909,4.05999,
0.02,0.138158,4.92133,0.000306407,0,0.657901,4.05996,
0.021,0.138158,4.92129,0.000339512,0,0.657892,4.05992,
0.022,0.138157,4.92125,0.000374316,0,0.657883,4.05988,
0.023,0.138156,4.92121,0.000410819,0,0.657874,4.05984,
0.024,0.138155,4.92116,0.00044902,0,0.657864,4.05979,
0.025,0.138154,4.92111,0.000488921,0,0.657854,4.05975,
0.026,0.138154,4.92107,0.00053052,0,0.657843,4.0597,
0.027,0.138153,4.92101,0.000573818,0,0.657832,4.05965,
0.028,0.138152,4.92096,0.000618815,0,0.65782,4.0596,
0.029,0.138151,4.92091,0.000665512,0,0.657808,4.05954,
0.03,0.13815,4.92085,0.000713908,0,0.657796,4.05949,
0.031,0.138149,4.92079,0.000764004,0,0.657783,4.05943,
0.032,0.138147,4.92073,0.0008158,0,0.657769,4.05937,
0.033,0.138146,4.92067,0.000869296,0,0.657756,4.05931,
0.034,0.138145,4.9206,0.000924491,0,0.657741,4.05925,
0.035,0.138144,4.92053,0.000981388,0,0.657727,4.05918,
0.036,0.138143,4.92046,0.00103998,0,0.657712,4.05911,
0.037,0.138141,4.92039,0.00110028,0,0.657696,4.05905,
0.038,0.13814,4.92032,0.00116228,0,0.65768,4.05897,
0.039,0.138139,4.92025,0.00122598,0,0.657664,4.0589,
0.04,0.138137,4.92017,0.00129138,0,0.657647,4.05883,
0.041,0.138136,4.92009,0.00135848,0,0.657629,4.05875,
0.042,0.138134,4.92001,0.00142729,0,0.657612,4.05867,
0.043,0.138133,4.91992,0.00149779,0,0.657594,4.05859,
0.044,0.138131,4.91984,0.00157,0,0.657575,4.05851,
0.045,0.13813,4.91975,0.00164391,0,0.657556,4.05842,
0.046,0.138128,4.91966,0.00171952,0,0.657536,4.05834,
0.047,0.138126,4.91957,0.00179684,0,0.657516,4.05825,
0.048,0.138125,4.91948,0.00187586,0,0.657496,4.05816,
0.049,0.138123,4.91938,0.00195658,0,0.657475,4.05806,
