time,actualComX,actualComY,springLegDelta,Phase,footInBaseX,footInBaseY
0.084,0.13134,4.9139,0.00378244,0,0.576705,4.06481,
0.085,0.13118,4.91371,0.0038928,0,0.574816,4.06495,
0.086,0.131019,4.91351,0.00400536,0,0.572907,4.06509,
0.087,0.130855,4.91332,0.00412013,0,0.57098,4.06523,
0.088,0.13069,4.91312,0.00423715,0,0.569035,4.06538,
0.089,0.130524,4.91292,0.00435645,0,0.567071,4.06553,
0.09,0.130355,4.91272,0.00447806,0,0.565089,4.06568,
0.091,0.130185,4.91252,0.004602,0,0.563089,4.06583,
0.092,0.130014,4.91231,0.00472832,0,0.561071,4.06599,
0.093,0.129841,4.9121,0.00485702,0,0.559035,4.06615,
0.094,0.129666,4.91189,0.00498816,0,0.556982,4.06632,
0.095,0.12949,4.91168,0.00512175,0,0.554911,4.06648,
0.096,0.129312,4.91146,0.00525782,0,0.552823,4.06665,
0.097,0.129133,4.91125,0.00539642,0,0.550717,4.06683,
0.098,0.128952,4.91103,0.00553756,0,0.548595,4.067,
0.099,0.128769,4.9108,0.00568128,0,0.546455,4.06718,
0.1,0.128585,4.91058,0.00582761,0,0.544299,4.06736,
0.101,0.1284,4.91035,0.00597658,0,0.542127,4.06755,
0.102,0.128213,4.91012,0.00612822,0,0.539937,4.06774,
0.103,0.128024,4.90989,0.00628257,0,0.537732,4.06793,
0.104,0.127834,4.90966,0.00643965,0,0.535511,4.06813,
0.105,0.127642,4.90942,0.00659949,0,0.533273,4.06833,
0.106,0.127449,4.90918,0.00676213,0,0.53102,4.06853,
0.107,0.127255,4.90894,0.00692759,0,0.528751,4.06874,
0.108,0.127059,4.9087,0.00709592,0,0.526467,4.06895,
0.109,0.126862,4.90845,0.00726714,0,0.524167,4.06916,
0.11,0.126663,4.9082,0.00744128,0,0.521852,4.06938,
0.111,0.126463,4.90795,0.00761837,0,0.519523,4.0696,
0.112,0.126261,4.9077,0.00779845,0,0.517178,4.06982,
0.113,0.126058,4.90744,0.00798155,0,0.514819,4.07005,
0.114,0.125853,4.90718,0.0081677,0,0.512445,4.07028,
0.115,0.125648,4.90692,0.00835692,0,0.510058,4.07051,
0.116,0.12544,4.90666,0.00854926,0,0.507656,4.07075,
0.117,0.125232,4.9064,0.00874475,0,0.50524,4.07099,
0.118,0.125022,4.90613,0.00894341,0,0.50281,4.07124,
0.119,0.124811,4.90586,0.00914528,0,0.500367,4.07148,
0.12,0.124598,4.90559,0.00935039,0,0.49791,4.07174,
0.121,0.124384,4.90531,0.00955877,0,0.49544,4.07199,
0.122,0.124169,4.90504,0.00977045,0,0.492957,4.07225,
0.123,0.123953,4.90476,0.00998547,0,0.490461,4.07252,
0.124,0.123735,4.90447,0.0102038,0,0.487952,4.07278,
0.125,0.123516,4.90419,0.0104256,0,0.485431,4.07305,
0.126,0.123296,4.9039,0.0106508,0,0.482897,4.07333,
0.127,0.123074,4.90361,0.0108795,0,0.480352,4.07361,
0.128,0.122852,4.90332,0.0111117,0,0.477794,4.07389,
0.129,0.122628,4.90303,0.0113473,0,0.475225,4.07417,
0.13,0.122403,4.90273,0.0115866,0,0.472643,4.07446,
0.131,0.122176,4.90243,0.0118294,0,0.470051,4.07476,
0.132,0.121949,4.90213,0.0120758,0,0.467447,4.07505,
0.133,0.12172,4.90183,0.0123259,0,0.464832,4.07535,
0.134,0.12149,4.90152,0.0125796,0,0.462207,4.07566,
0.135,0.121259,4.90122,0.0128371,0,0.45957,4.07597,
0.136,0.121027,4.9009,0.0130982,0,0.456923,4.07628,
0.137,0.120794,4.90059,0.0133632,0,0.454266,4.07659,
0.138,0.120559,4.90028,0.0136319,0,0.451599,4.07691,
0.139,0.120324,4.89996,0.0139045,0,0.448921,4.07723,
0.14,0.120087,4.89964,0.0141809,0,0.446234,4.07756,
0.141,0.119849,4.89931,0.0144612,0,0.443538,4.07789,
0.142,0.11961,4.89899,0.0147453,0,0.440832,4.07823,
0.143,0.11937,4.89866,0.0150335,0,0.438117,4.07856,
0.144,0.11913,4.89833,0.0153256,0,0.435393,4.0789,
0.145,0.118888,4.898,0.0156217,0,0.43266,4.07925,
0.146,0.118645,4.89766,0.0159218,0,0.429918,4.0796,
0.147,0.118401,4.89732,0.0162259,0,0.427169,4.07995,
0.148,0.118156,4.89698,0.0165341,0,0.42441,4.0803,
0.149,0.11791,4.89664,0.0168465,0,0.421644,4.08066,
0.15,0.117663,4.89629,0.0171629,0,0.41887,4.08103,
0.151,0.117415,4.89595,0.0174835,0,0.416089,4.08139,
0.152,0.117166,4.8956,0.0178083,0,0.4133,4.08176,
0.153,0.116916,4.89524,0.0181373,0,0.410504,4.08214,
0.154,0.116665,4.89489,0.0184705,0,0.4077,4.08251,
0.155,0.116413,4.89453,0.018808,0,0.40489,4.08289,
0.156,0.116161,4.89417,0.0191497,0,0.402073,4.08328,
0.157,0.115907,4.89381,0.0194957,0,0.39925,4.08366,
0.158,0.115653,4.89344,0.0198461,0,0.39642,4.08405,
0.159,0.115398,4.89307,0.0202008,0,0.393585,4.08445,
0.16,0.115141,4.8927,0.0205599,0,0.390743,4.08484,
0.161,0.114884,4.89233,0.0209233,0,0.387896,4.08524,
0.162,0.114627,4.89195,0.0212912,0,0.385043,4.08565,
0.163,0.114368,4.89157,0.0216635,0,0.382185,4.08605,
0.164,0.114108,4.89119,0.0220403,0,0.379321,4.08646,
0.165,0.113848,4.89081,0.0224216,0,0.376453,4.08687,
0.166,0.113587,4.89042,0.0228073,0,0.37358,4.08729,
0.167,0.113325,4.89004,0.0231975,0,0.370703,4.08771,
0.168,0.113063,4.88964,0.0235923,0,0.367821,4.08813,
0.169,0.112799,4.88925,0.0239917,0,0.364935,4.08855,
0.17,0.112535,4.88886,0.0243956,0,0.362045,4.08898,
0.171,0.11227,4.88846,0.0248041,0,0.359151,4.08941,
0.172,0.112005,4.88806,0.0252172,0,0.356254,4.08984,
0.173,0.111738,4.88765,0.0256349,0,0.353353,4.09027,
0.174,0.111471,4.88724,0.0260572,0,0.350449,4.09071,
0.175,0.111204,4.88684,0.0264842,0,0.347542,4.09115,
0.176,0.110935,4.88642,0.0269159,0,0.344632,4.09159,
0.177,0.110666,4.88601,0.0273522,0,0.341719,4.09204,
0.178,0.110397,4.88559,0.0277933,0,0.338804,4.09249,
0.179,0.110126,4.88517,0.028239,0,0.335886,4.09294,
0.18,0.109855,4.88475,0.0286895,0,0.332967,4.09339,
0.181,0.109584,4.88433,0.0291447,0,0.330045,4.09384,
0.182,0.109312,4.8839,0.0296046,0,0.327122,4.0943,
0.183,0.109039,4.88347,0.0300693,0,0.324197,4.09476,
0.184,0.108766,4.88304,0.0305387,0,0.321271,4.09522,
0.185,0.108492,4.8826,0.031013,0,0.318344,4.09568,
0.186,0.108217,4.88216,0.031492,0,0.315415,4.09614,
0.187,0.107942,4.88172,0.0319758,0,0.312486,4.09661,
0.188,0.107667,4.88128,0.0324644,0,0.309556,4.09707,
0.189,0.10739,4.88083,0.0329577,0,0.306625,4.09754,
0.19,0.107114,4.88039,0.0334559,0,0.303695,4.09801,
0.191,0.106837,4.87993,0.033959,0,0.300764,4.09848,
0.192,0.106559,4.87948,0.0344668,0,0.297833,4.09895,
0.193,0.106281,4.87902,0.0349795,0,0.294902,4.09943,
0.194,0.106002,4.87856,0.035497,0,0.291971,4.0999,
0.195,0.105723,4.8781,0.0360193,0,0.289041,4.10038,
0.196,0.105444,4.87764,0.0365465,0,0.286112,4.10086,
0.197,0.105164,4.87717,0.0370785,0,0.283183,4.10133,
0.198,0.104883,4.8767,0.0376153,0,0.280256,4.10181,
0.199,0.104603,4.87623,0.038157,0,0.27733,4.10229,
0.2,0.104321,4.87575,0.0387035,0,0.274405,4.10277,
0.201,0.10404,4.87528,0.0392548,0,0.271481,4.10325,
0.202,0.103758,4.87479,0.039811,0,0.268559,4.10373,
0.203,0.103475,4.87431,0.0403721,0,0.265639,4.10421,
0.204,0.103193,4.87382,0.0409379,0,0.262721,4.10469,
0.205,0.102909,4.87334,0.0415086,0,0.259805,4.10518,
0.206,0.102626,4.87284,0.0420841,0,0.256891,4.10566,
0.207,0.102342,4.87235,0.0426644,0,0.25398,4.10614,
0.208,0.102058,4.87185,0.0432496,0,0.251071,4.10662,
0.209,0.101774,4.87135,0.0438395,0,0.248165,4.1071,
0.21,0.101489,4.87085,0.0444343,0,0.245262,4.10758,
