time,actualComX,actualComY,springLegDelta,Phase,footInBaseX,footInBaseY
0.001,0.138165,4.92169,0,0,0.65798,4.06031,
0.002,0.137928,4.92166,-9.60594e-05,0,0.655133,4.06065,
0.003,0.137454,4.9216,-0.000283699,0,0.649458,4.06135,
0.004,0.136985,4.92153,-0.00046348,0,0.643836,4.06205,
0.005,0.13652,4.92147,-0.000634674,0,0.638279,4.06275,
0.006,0.13606,4.9214,-0.000797371,0,0.632789,4.06344,
0.007,0.135605,4.92132,-0.000951664,0,0.627363,4.06414,
0.008,0.135155,4.92125,-0.00109765,0,0.622,4.06484,
0.009,0.134709,4.92117,-0.00123541,0,0.616701,4.06553,
0.01,0.134268,4.92109,-0.00136505,0,0.611464,4.06623,
0.011,0.133832,4.921,-0.00148665,0,0.606289,4.06692,
0.012,0.1334,4.92092,-0.00160031,0,0.601174,4.06761,
0.013,0.132972,4.92083,-0.00170611,0,0.596119,4.06829,
0.014,0.132549,4.92073,-0.00180414,0,0.591124,4.06897,
0.015,0.13213,4.92064,-0.00189449,0,0.586186,4.06965,
0.016,0.131716,4.92054,-0.00197724,0,0.581306,4.07032,
0.017,0.131305,4.92044,-0.00205249,0,0.576483,4.07099,
0.018,0.130899,4.92034,-0.00212032,0,0.571716,4.07166,
0.019,0.130497,4.92023,-0.00218081,0,0.567004,4.07232,
0.02,0.130099,4.92012,-0.00223405,0,0.562347,4.07297,
0.021,0.129705,4.92001,-0.00228011,0,0.557744,4.07362,
0.022,0.129315,4.9199,-0.00231909,0,0.553194,4.07426,
0.023,0.128928,4.91978,-0.00235106,0,0.548696,4.0749,
0.024,0.128546,4.91966,-0.0023761,0,0.54425,4.07553,
0.025,0.128167,4.91953,-0.0023943,0,0.539855,4.07615,
0.026,0.127792,4.91941,-0.00240572,0,0.53551,4.07677,
0.027,0.127421,4.91928,-0.00241046,0,0.531215,4.07738,
0.028,0.127053,4.91915,-0.00240858,0,0.52697,4.07799,
0.029,0.126689,4.91902,-0.00240017,0,0.522772,4.07858,
0.03,0.126328,4.91888,-0.00238529,0,0.518622,4.07917,
0.031,0.125971,4.91874,-0.00236403,0,0.51452,4.07976,
0.032,0.125617,4.9186,-0.00233646,0,0.510463,4.08033,
0.033,0.125267,4.91845,-0.00230264,0,0.506453,4.0809,
0.034,0.12492,4.91831,-0.00226266,0,0.502488,4.08146,
0.035,0.124576,4.91816,-0.00221659,0,0.498567,4.08201,
0.036,0.124236,4.91801,-0.00216449,0,0.49469,4.08255,
0.037,0.123899,4.91785,-0.00210643,0,0.490857,4.08309,
0.038,0.123565,4.91769,-0.00204249,0,0.487066,4.08362,
0.039,0.123234,4.91753,-0.00197273,0,0.483318,4.08414,
0.04,0.122906,4.91737,-0.00189722,0,0.479611,4.08465,
0.041,0.122581,4.9172,-0.00181602,0,0.475946,4.08515,
0.042,0.122259,4.91703,-0.00172921,0,0.472321,4.08564,
0.043,0.12194,4.91686,-0.00163685,0,0.468736,4.08613,
0.044,0.121624,4.91669,-0.001539,0,0.46519,4.0866,
0.045,0.121311,4.91651,-0.00143572,0,0.461683,4.08707,
0.046,0.121001,4.91634,-0.00132708,0,0.458215,4.08753,
0.047,0.120694,4.91615,-0.00121313,0,0.454784,4.08798,
0.048,0.120389,4.91597,-0.00109395,0,0.451391,4.08842,
0.049,0.120087,4.91578,-0.000969593,0,0.448034,4.08885,
0.05,0.119788,4.9156,-0.000840113,0,0.444714,4.08928,
0.051,0.119492,4.9154,-0.000705572,0,0.44143,4.08969,
0.052,0.119198,4.91521,-0.000566028,0,0.438181,4.09009,
0.053,0.118907,4.91501,-0.000421538,0,0.434967,4.09049,
0.054,0.118618,4.91481,-0.00027216,0,0.431787,4.09087,
0.055,0.118332,4.91461,-0.000117948,0,0.428641,4.09125,
0.056,0.118048,4.91441,4.10428e-05,0,0.425529,4.09162,
0.057,0.117767,4.9142,0.000204757,0,0.422449,4.09198,
0.058,0.117488,4.91399,0.000373142,0,0.419402,4.09233,
0.059,0.117212,4.91378,0.000546145,0,0.416388,4.09267,
0.06,0.116938,4.91357,0.000723713,0,0.413404,4.093,
0.061,0.116666,4.91335,0.000905795,0,0.410453,4.09332,
0.062,0.116397,4.91313,0.00109234,0,0.407532,4.09363,
0.063,0.11613,4.91291,0.0012833,0,0.404641,4.09394,
0.064,0.115865,4.91269,0.00147862,0,0.40178,4.09423,
0.065,0.115603,4.91246,0.00167826,0,0.398949,4.09452,
0.066,0.115342,4.91223,0.00188217,0,0.396147,4.09479,
0.067,0.115084,4.912,0.0020903,0,0.393374,4.09506,
0.068,0.114828,4.91177,0.0023026,0,0.390629,4.09532,
0.069,0.114574,4.91153,0.00251903,0,0.387913,4.09556,
0.07,0.114322,4.9113,0.00273954,0,0.385224,4.0958,
0.071,0.114073,4.91106,0.00296409,0,0.382562,4.09603,
0.072,0.113825,4.91081,0.00319264,0,0.379927,4.09625,
0.073,0.113579,4.91057,0.00342513,0,0.377318,4.09647,
0.074,0.113336,4.91032,0.00366154,0,0.374736,4.09667,
0.075,0.113094,4.91007,0.00390181,0,0.37218,4.09686,
0.076,0.112854,4.90982,0.0041459,0,0.369649,4.09705,
0.077,0.112617,4.90956,0.00439378,0,0.367143,4.09722,
0.078,0.112381,4.90931,0.00464541,0,0.364663,4.09739,
0.079,0.112147,4.90905,0.00490074,0,0.362206,4.09755,
0.08,0.111915,4.90879,0.00515973,0,0.359774,4.0977,
0.081,0.111684,4.90852,0.00542235,0,0.357365,4.09784,
0.082,0.111456,4.90826,0.00568856,0,0.354981,4.09797,
0.083,0.111229,4.90799,0.00595833,0,0.352619,4.0981,
0.084,0.111004,4.90772,0.00623161,0,0.35028,4.09821,
0.085,0.110781,4.90745,0.00650836,0,0.347964,4.09832,
0.086,0.110559,4.90717,0.00678857,0,0.34567,4.09842,
0.087,0.11034,4.90689,0.00707218,0,0.343398,4.09851,
0.088,0.110121,4.90661,0.00735916,0,0.341148,4.09859,
0.089,0.109905,4.90633,0.00764949,0,0.33892,4.09866,
0.09,0.10969,4.90605,0.00794312,0,0.336712,4.09872,
0.091,0.109477,4.90576,0.00824003,0,0.334525,4.09878,
0.092,0.109266,4.90547,0.00854018,0,0.332359,4.09883,
0.093,0.109056,4.90518,0.00884354,0,0.330214,4.09887,
0.094,0.108847,4.90489,0.00915008,0,0.328088,4.0989,
0.095,0.10864,4.9046,0.00945977,0,0.325982,4.09892,
0.096,0.108435,4.9043,0.00977258,0,0.323896,4.09894,
0.097,0.108231,4.904,0.0100885,0,0.321829,4.09894,
0.098,0.108029,4.9037,0.0104074,0,0.319781,4.09894,
0.099,0.107828,4.9034,0.0107294,0,0.317752,4.09893,
0.1,0.107629,4.90309,0.0110544,0,0.315742,4.09892,
0.101,0.107431,4.90278,0.0113824,0,0.313749,4.09889,
0.102,0.107235,4.90247,0.0117133,0,0.311775,4.09886,
0.103,0.10704,4.90216,0.0120471,0,0.309819,4.09882,
0.104,0.106846,4.90185,0.0123838,0,0.307881,4.09877,
0.105,0.106654,4.90153,0.0127234,0,0.30596,4.09872,
0.106,0.106463,4.90121,0.0130658,0,0.304056,4.09866,
0.107,0.106274,4.90089,0.0134111,0,0.302169,4.09859,
0.108,0.106086,4.90057,0.0137591,0,0.300298,4.09851,
0.109,0.105899,4.90024,0.0141099,0,0.298445,4.09842,
0.11,0.105713,4.89992,0.0144634,0,0.296608,4.09833,
0.111,0.105529,4.89959,0.0148197,0,0.294786,4.09823,
0.112,0.105346,4.89926,0.0151787,0,0.292981,4.09813,
0.113,0.105165,4.89893,0.0155403,0,0.291192,4.09801,
0.114,0.104984,4.89859,0.0159046,0,0.289418,4.09789,
0.115,0.104805,4.89825,0.0162715,0,0.287659,4.09777,
0.116,0.104627,4.89792,0.016641,0,0.285916,4.09763,
0.117,0.104451,4.89757,0.0170131,0,0.284188,4.09749,
0.118,0.104275,4.89723,0.0173878,0,0.282474,4.09734,
0.119,0.104101,4.89689,0.017765,0,0.280775,4.09719,
0.12,0.103928,4.89654,0.0181447,0,0.27909,4.09703,
0.121,0.103756,4.89619,0.018527,0,0.27742,4.09686,
