time,actualComX,actualComY,springLegDelta,Phase,footInBaseX,footInBaseY
0.001,0.138165,4.92169,0,0,0.65798,4.06031,
0.002,0.138165,4.92169,7.39322e-07,0,0.657976,4.06031,
0.003,0.138164,4.92169,2.95732e-06,0,0.657966,4.06031,
0.004,0.138162,4.92168,6.65407e-06,0,0.657949,4.0603,
0.005,0.13816,4.92168,1.18297e-05,0,0.657925,4.0603,
0.006,0.138158,4.92167,1.84845e-05,0,0.657894,4.06029,
0.007,0.138155,4.92166,2.66186e-05,0,0.657857,4.06029,
0.008,0.138151,4.92164,3.62324e-05,0,0.657812,4.06028,
0.009,0.138147,4.92163,4.73262e-05,0,0.657761,4.06027,
0.01,0.138142,4.92161,5.99006e-05,0,0.657703,4.06026,
0.011,0.138137,4.92159,7.39559e-05,0,0.657638,4.06025,
0.012,0.138131,4.92157,8.94928e-05,0,0.657566,4.06024,
0.013,0.138124,4.92154,0.000106512,0,0.657488,4.06022,
0.014,0.138117,4.92152,0.000125014,0,0.657402,4.06021,
0.015,0.138109,4.92149,0.000144999,0,0.65731,4.06019,
0.016,0.138101,4.92146,0.000166469,0,0.657211,4.06017,
0.017,0.138092,4.92143,0.000189424,0,0.657105,4.06016,
0.018,0.138083,4.92139,0.000213865,0,0.656993,4.06014,
0.019,0.138073,4.92136,0.000239793,0,0.656873,4.06012,
0.02,0.138062,4.92132,0.000267209,0,0.656747,4.06009,
0.021,0.138051,4.92128,0.000296114,0,0.656614,4.06007,
0.022,0.138039,4.92124,0.000326509,0,0.656474,4.06005,
0.023,0.138027,4.92119,0.000358396,0,0.656327,4.06002,
0.024,0.138014,4.92114,0.000391776,0,0.656174,4.06,
0.025,0.138001,4.9211,0.000426649,0,0.656013,4.05997,
0.026,0.137987,4.92105,0.000463018,0,0.655846,4.05994,
0.027,0.137973,4.92099,0.000500884,0,0.655672,4.05991,
0.028,0.137958,4.92094,0.000540248,0,0.655491,4.05988,
0.029,0.137942,4.92088,0.000581112,0,0.655304,4.05985,
0.03,0.137926,4.92082,0.000623477,0,0.65511,4.05981,
0.031,0.137909,4.92076,0.000667345,0,0.654908,4.05978,
0.032,0.137892,4.9207,0.000712718,0,0.654701,4.05974,
0.033,0.137874,4.92063,0.000759597,0,0.654486,4.05971,
0.034,0.137855,4.92056,0.000807985,0,0.654265,4.05967,
0.035,0.137836,4.9205,0.000857883,0,0.654036,4.05963,
0.036,0.137817,4.92042,0.000909293,0,0.653801,4.05959,
0.037,0.137797,4.92035,0.000962218,0,0.65356,4.05955,
0.038,0.137776,4.92027,0.00101666,0,0.653311,4.0595,
0.039,0.137755,4.9202,0.00107262,0,0.653056,4.05946,
0.04,0.137733,4.92012,0.0011301,0,0.652794,4.05941,
0.041,0.13771,4.92004,0.0011891,0,0.652525,4.05937,
0.042,0.137687,4.91995,0.00124963,0,0.65225,4.05932,
0.043,0.137664,4.91987,0.00131168,0,0.651968,4.05927,
0.044,0.13764,4.91978,0.00137526,0,0.651679,4.05922,
0.045,0.137615,4.91969,0.00144038,0,0.651383,4.05917,
0.046,0.13759,4.9196,0.00150703,0,0.651081,4.05912,
0.047,0.137564,4.9195,0.00157522,0,0.650772,4.05907,
0.048,0.137538,4.9194,0.00164494,0,0.650457,4.05901,
0.049,0.137511,4.91931,0.00171621,0,0.650134,4.05896,
0.05,0.137483,4.91921,0.00178903,0,0.649805,4.0589,
0.051,0.137455,4.9191,0.00186339,0,0.649469,4.05885,
0.052,0.137427,4.919,0.0019393,0,0.649127,4.05879,
0.053,0.137398,4.91889,0.00201677,0,0.648778,4.05873,
0.054,0.137368,4.91878,0.00209579,0,0.648422,4.05867,
0.055,0.137338,4.91867,0.00217638,0,0.64806,4.05861,
0.056,0.137307,4.91856,0.00225852,0,0.647691,4.05854,
0.057,0.137275,4.91844,0.00234223,0,0.647315,4.05848,
0.058,0.137244,4.91833,0.00242751,0,0.646933,4.05841,
0.059,0.137211,4.91821,0.00251437,0,0.646544,4.05835,
0.06,0.137178,4.91809,0.00260279,0,0.646148,4.05828,
0.061,0.137144,4.91796,0.0026928,0,0.645746,4.05821,
0.062,0.13711,4.91784,0.00278439,0,0.645337,4.05814,
0.063,0.137076,4.91771,0.00287756,0,0.644922,4.05807,
0.064,0.13704,4.91758,0.00297232,0,0.6445,4.058,
0.065,0.137005,4.91745,0.00306867,0,0.644071,4.05793,
0.066,0.136968,4.91732,0.00316662,0,0.643636,4.05785,
0.067,0.136931,4.91718,0.00326617,0,0.643194,4.05778,
0.068,0.136894,4.91704,0.00336732,0,0.642746,4.0577,
0.069,0.136856,4.9169,0.00347008,0,0.642291,4.05763,
0.07,0.136817,4.91676,0.00357445,0,0.64183,4.05755,
0.071,0.136778,4.91662,0.00368044,0,0.641362,4.05747,
0.072,0.136739,4.91647,0.00378804,0,0.640888,4.05739,
0.073,0.136698,4.91632,0.00389726,0,0.640407,4.05731,
0.074,0.136658,4.91617,0.00400811,0,0.639919,4.05723,
0.075,0.136616,4.91602,0.0041206,0,0.639425,4.05714,
0.076,0.136575,4.91587,0.00423471,0,0.638925,4.05706,
0.077,0.136532,4.91571,0.00435046,0,0.638418,4.05697,
0.078,0.136489,4.91555,0.00446786,0,0.637905,4.05689,
0.079,0.136446,4.91539,0.0045869,0,0.637385,4.0568,
0.08,0.136402,4.91523,0.0047076,0,0.636859,4.05671,
0.081,0.136357,4.91506,0.00482995,0,0.636326,4.05662,
0.082,0.136312,4.9149,0.00495396,0,0.635787,4.05653,
0.083,0.136266,4.91473,0.00507963,0,0.635242,4.05644,
0.084,0.13622,4.91456,0.00520697,0,0.63469,4.05635,
0.085,0.136174,4.91438,0.00533599,0,0.634131,4.05625,
0.086,0.136126,4.91421,0.00546668,0,0.633567,4.05616,
0.087,0.136079,4.91403,0.00559905,0,0.632996,4.05606,
0.088,0.13603,4.91385,0.00573311,0,0.632418,4.05597,
0.089,0.135981,4.91367,0.00586887,0,0.631835,4.05587,
0.09,0.135932,4.91349,0.00600632,0,0.631245,4.05577,
0.091,0.135882,4.9133,0.00614547,0,0.630648,4.05567,
0.092,0.135832,4.91311,0.00628632,0,0.630045,4.05557,
0.093,0.135781,4.91293,0.00642889,0,0.629436,4.05547,
0.094,0.135729,4.91273,0.00657317,0,0.628821,4.05537,
0.095,0.135677,4.91254,0.00671918,0,0.628199,4.05526,
0.096,0.135624,4.91234,0.0068669,0,0.627572,4.05516,
0.097,0.135571,4.91215,0.00701636,0,0.626938,4.05505,
0.098,0.135518,4.91195,0.00716756,0,0.626297,4.05495,
0.099,0.135463,4.91174,0.00732049,0,0.625651,4.05484,
0.1,0.135409,4.91154,0.00747518,0,0.624998,4.05473,
0.101,0.135353,4.91133,0.00763161,0,0.624339,4.05462,
0.102,0.135298,4.91113,0.0077898,0,0.623674,4.05451,
0.103,0.135241,4.91091,0.00794975,0,0.623002,4.0544,
0.104,0.135184,4.9107,0.00811147,0,0.622325,4.05429,
0.105,0.135127,4.91049,0.00827496,0,0.621641,4.05418,
0.106,0.135069,4.91027,0.00844023,0,0.620951,4.05406,
0.107,0.135011,4.91005,0.00860728,0,0.620255,4.05395,
0.108,0.134952,4.90983,0.00877612,0,0.619553,4.05383,
0.109,0.134893,4.90961,0.00894676,0,0.618845,4.05372,
0.11,0.134833,4.90938,0.00911919,0,0.618131,4.0536,
0.111,0.134772,4.90916,0.00929343,0,0.61741,4.05348,
0.112,0.134711,4.90893,0.00946948,0,0.616684,4.05336,
0.113,0.13465,4.9087,0.00964735,0,0.615951,4.05324,
0.114,0.134588,4.90846,0.00982704,0,0.615213,4.05312,
0.115,0.134525,4.90823,0.0100086,0,0.614468,4.053,
0.116,0.134462,4.90799,0.0101919,0,0.613718,4.05288,
0.117,0.134399,4.90775,0.0103771,0,0.612961,4.05275,
0.118,0.134334,4.90751,0.0105641,0,0.612199,4.05263,
0.119,0.13427,4.90727,0.010753,0,0.611431,4.0525,
0.12,0.134205,4.90702,0.0109438,0,0.610656,4.05238,
0.121,0.134139,4.90677,0.0111364,0,0.609876,4.05225,
0.122,0.134073,4.90652,0.0113309,0,0.60909,4.05212,
0.123,0.134006,4.90627,0.0115272,0,0.608298,4.05199,
0.124,0.133939,4.90602,0.0117255,0,0.6075,4.05187,
0.125,0.133872,4.90576,0.0119256,0,0.606696,4.05173,
0.126,0.133804,4.9055,0.0121276,0,0.605886,4.0516,
0.127,0.133735,4.90524,0.0123315,0,0.605071,4.05147,
0.128,0.133666,4.90498,0.0125374,0,0.604249,4.05134,
0.129,0.133596,4.90471,0.0127451,0,0.603422,4.05121,
0.13,0.133526,4.90445,0.0129548,0,0.602589,4.05107,
0.131,0.133455,4.90418,0.0131663,0,0.601751,4.05094,
0.132,0.133384,4.90391,0.0133798,0,0.600906,4.0508,
0.133,0.133313,4.90364,0.0135953,0,0.600056,4.05066,
0.134,0.133241,4.90336,0.0138127,0,0.5992,4.05053,
0.135,0.133168,4.90308,0.014032,0,0.598339,4.05039,
