time,actualComX,actualComY,springLegDelta,Phase,footInBaseX,footInBaseY
0.001,0.138165,4.92169,0,0,0.65798,4.06031,
0.002,0.138165,4.92169,6.61417e-07,0,0.657974,4.06031,
0.003,0.138163,4.92169,2.64572e-06,0,0.657957,4.06031,
0.004,0.138161,4.92168,5.95309e-06,0,0.657929,4.0603,
0.005,0.138157,4.92168,1.05838e-05,0,0.657889,4.0603,
0.006,0.138153,4.92167,1.65383e-05,0,0.657837,4.0603,
0.007,0.138148,4.92165,2.38171e-05,0,0.657775,4.0603,
0.008,0.138142,4.92164,3.24208e-05,0,0.657701,4.06029,
0.009,0.138135,4.92162,4.23502e-05,0,0.657615,4.06029,
0.01,0.138127,4.92161,5.36062e-05,0,0.657519,4.06028,
0.011,0.138118,4.92159,6.61898e-05,0,0.65741,4.06028,
0.012,0.138108,4.92156,8.01022e-05,0,0.657291,4.06027,
0.013,0.138097,4.92154,9.53445e-05,0,0.65716,4.06026,
0.014,0.138085,4.92151,0.000111918,0,0.657018,4.06025,
0.015,0.138072,4.92148,0.000129825,0,0.656864,4.06025,
0.016,0.138058,4.92145,0.000149066,0,0.656699,4.06024,
0.017,0.138044,4.92142,0.000169643,0,0.656523,4.06023,
0.018,0.138028,4.92139,0.000191558,0,0.656335,4.06022,
0.019,0.138011,4.92135,0.000214813,0,0.656136,4.06021,
0.02,0.137994,4.92131,0.00023941,0,0.655926,4.06019,
0.021,0.137975,4.92127,0.000265351,0,0.655704,4.06018,
0.022,0.137956,4.92123,0.000292639,0,0.655471,4.06017,
0.023,0.137935,4.92118,0.000321275,0,0.655226,4.06016,
0.024,0.137914,4.92113,0.000351264,0,0.654971,4.06014,
0.025,0.137892,4.92108,0.000382606,0,0.654704,4.06013,
0.026,0.137869,4.92103,0.000415305,0,0.654426,4.06011,
0.027,0.137845,4.92098,0.000449365,0,0.654136,4.0601,
0.028,0.137819,4.92092,0.000484787,0,0.653835,4.06008,
0.029,0.137793,4.92086,0.000521575,0,0.653523,4.06006,
0.03,0.137767,4.9208,0.000559732,0,0.6532,4.06005,
0.031,0.137739,4.92074,0.000599262,0,0.652865,4.06003,
0.032,0.13771,4.92067,0.000640168,0,0.65252,4.06001,
0.033,0.13768,4.92061,0.000682453,0,0.652163,4.05999,
0.034,0.137649,4.92054,0.000726122,0,0.651794,4.05997,
0.035,0.137618,4.92047,0.000771179,0,0.651415,4.05995,
0.036,0.137585,4.92039,0.000817626,0,0.651024,4.05993,
0.037,0.137552,4.92032,0.000865469,0,0.650623,4.05991,
0.038,0.137517,4.92024,0.000914711,0,0.65021,4.05989,
0.039,0.137482,4.92016,0.000965357,0,0.649786,4.05986,
0.04,0.137445,4.92008,0.00101741,0,0.64935,4.05984,
0.041,0.137408,4.92,0.00107088,0,0.648904,4.05982,
0.042,0.13737,4.91991,0.00112576,0,0.648447,4.05979,
0.043,0.137331,4.91982,0.00118207,0,0.647978,4.05977,
0.044,0.137291,4.91973,0.0012398,0,0.647498,4.05974,
0.045,0.13725,4.91964,0.00129896,0,0.647008,4.05972,
0.046,0.137208,4.91955,0.00135956,0,0.646506,4.05969,
0.047,0.137165,4.91945,0.00142161,0,0.645993,4.05966,
0.048,0.137121,4.91935,0.0014851,0,0.645469,4.05964,
0.049,0.137077,4.91925,0.00155004,0,0.644935,4.05961,
0.05,0.137031,4.91915,0.00161644,0,0.644389,4.05958,
0.051,0.136985,4.91904,0.0016843,0,0.643832,4.05955,
0.052,0.136937,4.91894,0.00175364,0,0.643264,4.05952,
0.053,0.136889,4.91883,0.00182445,0,0.642686,4.0595,
0.054,0.13684,4.91872,0.00189674,0,0.642096,4.05947,
0.055,0.136789,4.9186,0.00197052,0,0.641496,4.05944,
0.056,0.136738,4.91849,0.00204579,0,0.640884,4.05941,
0.057,0.136686,4.91837,0.00212256,0,0.640262,4.05937,
0.058,0.136633,4.91825,0.00220084,0,0.639629,4.05934,
0.059,0.13658,4.91813,0.00228063,0,0.638985,4.05931,
0.06,0.136525,4.918,0.00236194,0,0.638331,4.05928,
0.061,0.136469,4.91788,0.00244477,0,0.637666,4.05925,
0.062,0.136413,4.91775,0.00252914,0,0.636989,4.05921,
0.063,0.136355,4.91762,0.00261504,0,0.636303,4.05918,
0.064,0.136297,4.91749,0.0027025,0,0.635605,4.05915,
0.065,0.136238,4.91735,0.00279151,0,0.634897,4.05911,
0.066,0.136177,4.91722,0.00288207,0,0.634178,4.05908,
0.067,0.136116,4.91708,0.00297421,0,0.633448,4.05904,
0.068,0.136054,4.91694,0.00306792,0,0.632708,4.05901,
0.069,0.135992,4.91679,0.00316322,0,0.631957,4.05897,
0.07,0.135928,4.91665,0.0032601,0,0.631196,4.05894,
0.071,0.135863,4.9165,0.00335858,0,0.630424,4.0589,
0.072,0.135798,4.91635,0.00345867,0,0.629642,4.05886,
0.073,0.135731,4.9162,0.00356038,0,0.628849,4.05883,
0.074,0.135664,4.91605,0.0036637,0,0.628046,4.05879,
0.075,0.135596,4.91589,0.00376866,0,0.627232,4.05875,
0.076,0.135527,4.91573,0.00387525,0,0.626408,4.05872,
0.077,0.135457,4.91557,0.00398349,0,0.625573,4.05868,
0.078,0.135386,4.91541,0.00409338,0,0.624728,4.05864,
0.079,0.135314,4.91524,0.00420494,0,0.623873,4.0586,
0.08,0.135242,4.91508,0.00431817,0,0.623007,4.05856,
0.081,0.135168,4.91491,0.00443308,0,0.622131,4.05853,
0.082,0.135094,4.91474,0.00454967,0,0.621245,4.05849,
0.083,0.135019,4.91457,0.00466797,0,0.620349,4.05845,
0.084,0.134943,4.91439,0.00478797,0,0.619442,4.05841,
0.085,0.134866,4.91421,0.00490969,0,0.618526,4.05837,
0.086,0.134788,4.91403,0.00503313,0,0.617599,4.05833,
0.087,0.134709,4.91385,0.00515831,0,0.616662,4.05829,
0.088,0.13463,4.91367,0.00528523,0,0.615715,4.05825,
0.089,0.134549,4.91348,0.0054139,0,0.614758,4.05821,
0.09,0.134468,4.9133,0.00554433,0,0.613791,4.05817,
0.091,0.134386,4.91311,0.00567654,0,0.612813,4.05813,
0.092,0.134303,4.91291,0.00581052,0,0.611826,4.05809,
0.093,0.134219,4.91272,0.0059463,0,0.61083,4.05805,
0.094,0.134135,4.91252,0.00608388,0,0.609823,4.05801,
0.095,0.134049,4.91232,0.00622326,0,0.608806,4.05797,
0.096,0.133963,4.91212,0.00636447,0,0.607779,4.05793,
0.097,0.133876,4.91192,0.0065075,0,0.606743,4.05789,
0.098,0.133788,4.91172,0.00665238,0,0.605697,4.05785,
0.099,0.133699,4.91151,0.00679911,0,0.604641,4.05781,
0.1,0.133609,4.9113,0.00694769,0,0.603576,4.05777,
0.101,0.133519,4.91109,0.00709815,0,0.602501,4.05773,
0.102,0.133427,4.91087,0.00725048,0,0.601416,4.05769,
0.103,0.133335,4.91066,0.00740471,0,0.600322,4.05765,
0.104,0.133242,4.91044,0.00756084,0,0.599218,4.0576,
0.105,0.133148,4.91022,0.00771888,0,0.598105,4.05756,
0.106,0.133054,4.91,0.00787884,0,0.596982,4.05752,
0.107,0.132958,4.90978,0.00804074,0,0.59585,4.05748,
0.108,0.132862,4.90955,0.00820458,0,0.594708,4.05744,
0.109,0.132765,4.90932,0.00837038,0,0.593557,4.0574,
0.11,0.132667,4.90909,0.00853814,0,0.592397,4.05736,
0.111,0.132568,4.90886,0.00870787,0,0.591227,4.05732,
0.112,0.132469,4.90862,0.0088796,0,0.590048,4.05728,
0.113,0.132368,4.90839,0.00905332,0,0.58886,4.05724,
0.114,0.132267,4.90815,0.00922905,0,0.587663,4.0572,
0.115,0.132165,4.90791,0.00940681,0,0.586457,4.05716,
0.116,0.132063,4.90766,0.00958659,0,0.585241,4.05712,
0.117,0.131959,4.90742,0.00976842,0,0.584017,4.05708,
0.118,0.131855,4.90717,0.0099523,0,0.582783,4.05704,
0.119,0.13175,4.90692,0.0101382,0,0.581541,4.057,
0.12,0.131644,4.90667,0.0103263,0,0.580289,4.05697,
0.121,0.131537,4.90641,0.0105164,0,0.579029,4.05693,
0.122,0.13143,4.90616,0.0107086,0,0.57776,4.05689,
0.123,0.131322,4.9059,0.0109029,0,0.576482,4.05685,
0.124,0.131213,4.90564,0.0110994,0,0.575196,4.05681,
0.125,0.131103,4.90537,0.0112979,0,0.5739,4.05677,
0.126,0.130992,4.90511,0.0114987,0,0.572596,4.05674,
0.127,0.130881,4.90484,0.0117016,0,0.571283,4.0567,
0.128,0.130769,4.90457,0.0119066,0,0.569962,4.05666,
0.129,0.130656,4.9043,0.0121139,0,0.568632,4.05663,
0.13,0.130543,4.90403,0.0123233,0,0.567294,4.05659,
0.131,0.130428,4.90375,0.0125349,0,0.565947,4.05655,
0.132,0.130313,4.90348,0.0127488,0,0.564592,4.05652,
0.133,0.130197,4.9032,0.0129648,0,0.563229,4.05648,
0.134,0.130081,4.90291,0.0131832,0,0.561857,4.05645,
0.135,0.129963,4.90263,0.0134037,0,0.560477,4.05641,
0.136,0.129845,4.90234,0.0136266,0,0.559088,4.05638,
0.137,0.129727,4.90205,0.0138517,0,0.557692,4.05634,
0.138,0.129607,4.90176,0.0140791,0,0.556287,4.05631,
0.139,0.129487,4.90147,0.0143088,0,0.554874,4.05627,
0.14,0.129366,4.90118,0.0145408,0,0.553453,4.05624,
0.141,0.129244,4.90088,0.0147752,0,0.552025,4.05621,
0.142,0.129122,4.90058,0.0150118,0,0.550588,4.05618,
0.143,0.128998,4.90028,0.0152509,0,0.549143,4.05614,
0.144,0.128875,4.89997,0.0154923,0,0.547691,4.05611,
0.145,0.12875,4.89967,0.015736,0,0.54623,4.05608,
0.146,0.128625,4.89936,0.0159822,0,0.544762,4.05605,
0.147,0.128499,4.89905,0.0162307,0,0.543287,4.05602,
0.148,0.128372,4.89874,0.0164817,0,0.541803,4.05599,
0.149,0.128244,4.89842,0.0167351,0,0.540312,4.05596,
0.15,0.128116,4.89811,0.0169909,0,0.538813,4.05593,
0.151,0.127988,4.89779,0.0172491,0,0.537307,4.0559,
0.152,0.127858,4.89747,0.0175098,0,0.535794,4.05588,
0.153,0.127728,4.89714,0.017773,0,0.534273,4.05585,
0.154,0.127597,4.89682,0.0180387,0,0.532745,4.05582,
0.155,0.127465,4.89649,0.0183069,0,0.531209,4.0558,
0.156,0.127333,4.89616,0.0185775,0,0.529666,4.05577,
0.157,0.1272,4.89583,0.0188507,0,0.528116,4.05574,
0.158,0.127067,4.8955,0.0191265,0,0.526559,4.05572,
0.159,0.126933,4.89516,0.0194047,0,0.524995,4.0557,
0.16,0.126798,4.89482,0.0196855,0,0.523423,4.05567,
0.161,0.126662,4.89448,0.0199689,0,0.521845,4.05565,
0.162,0.126526,4.89414,0.0202549,0,0.52026,4.05563,
0.163,0.126389,4.89379,0.0205435,0,0.518667,4.0556,
0.164,0.126251,4.89345,0.0208346,0,0.517068,4.05558,
0.165,0.126113,4.8931,0.0211284,0,0.515463,4.05556,
0.166,0.125974,4.89275,0.0214248,0,0.51385,4.05554,
0.167,0.125835,4.89239,0.0217239,0,0.512231,4.05552,
0.168,0.125695,4.89204,0.0220256,0,0.510605,4.0555,
0.169,0.125554,4.89168,0.02233,0,0.508973,4.05548,
