time,actualComX,actualComY,springLegDelta,Phase,footInBaseX,footInBaseY
0.001,0.138165,4.92169,0,0,0.65798,4.06031,
0.002,0.138147,4.92169,-6.63209e-06,0,0.657761,4.06033,
0.003,0.13811,4.92168,-1.90179e-05,0,0.657323,4.06038,
0.004,0.138074,4.92167,-2.9653e-05,0,0.656885,4.06043,
0.005,0.138037,4.92166,-3.85315e-05,0,0.656448,4.06048,
0.006,0.138001,4.92165,-4.56524e-05,0,0.656011,4.06052,
0.007,0.137964,4.92163,-5.10146e-05,0,0.655574,4.06056,
0.008,0.137928,4.92161,-5.46172e-05,0,0.655138,4.0606,
0.009,0.137892,4.92159,-5.64591e-05,0,0.654703,4.06064,
0.01,0.137855,4.92157,-5.65392e-05,0,0.654267,4.06067,
0.011,0.137819,4.92155,-5.48566e-05,0,0.653832,4.06071,
0.012,0.137783,4.92152,-5.14102e-05,0,0.653398,4.06074,
0.013,0.137747,4.9215,-4.61989e-05,0,0.652964,4.06077,
0.014,0.137711,4.92147,-3.92218e-05,0,0.65253,4.0608,
0.015,0.137674,4.92143,-3.04778e-05,0,0.652097,4.06082,
0.016,0.137638,4.9214,-1.99659e-05,0,0.651664,4.06085,
0.017,0.137602,4.92137,-7.68493e-06,0,0.651231,4.06087,
0.018,0.137566,4.92133,6.36601e-06,0,0.650799,4.06089,
0.019,0.13753,4.92129,2.2188e-05,0,0.650367,4.06091,
0.02,0.137494,4.92125,3.97821e-05,0,0.649936,4.06092,
0.021,0.137458,4.9212,5.91493e-05,0,0.649505,4.06094,
0.022,0.137422,4.92116,8.02907e-05,0,0.649074,4.06095,
0.023,0.137386,4.92111,0.000103207,0,0.648644,4.06096,
0.024,0.13735,4.92106,0.0001279,0,0.648214,4.06097,
0.025,0.137314,4.92101,0.00015437,0,0.647785,4.06097,
0.026,0.137279,4.92095,0.000182619,0,0.647356,4.06098,
0.027,0.137243,4.9209,0.000212647,0,0.646927,4.06098,
0.028,0.137207,4.92084,0.000244455,0,0.646499,4.06098,
0.029,0.137171,4.92078,0.000278045,0,0.646071,4.06098,
0.03,0.137136,4.92072,0.000313418,0,0.645643,4.06097,
0.031,0.1371,4.92066,0.000350574,0,0.645216,4.06097,
0.032,0.137064,4.92059,0.000389514,0,0.644789,4.06096,
0.033,0.137029,4.92052,0.000430241,0,0.644363,4.06095,
0.034,0.136993,4.92045,0.000472754,0,0.643937,4.06094,
0.035,0.136957,4.92038,0.000517055,0,0.643511,4.06092,
