time,actualComX,actualComY,springLegDelta,Phase,footInBaseX,footInBaseY
0.001,0.138165,2.92169,0,0,0.65798,2.06031,
0.002,0.136883,2.92153,-0.000511433,0,0.642616,2.06222,
0.003,0.134352,2.9212,-0.00142911,0,0.612423,2.06636,
0.004,0.131919,2.92086,-0.00217367,0,0.583634,2.07063,
0.005,0.129616,2.92048,-0.00273496,0,0.556612,2.07484,
0.006,0.127435,2.92007,-0.00312735,0,0.531246,2.07894,
0.007,0.125367,2.91964,-0.00336525,0,0.507422,2.08288,
0.008,0.123404,2.91918,-0.00346224,0,0.485029,2.08664,
0.009,0.121539,2.9187,-0.00343103,0,0.463965,2.09019,
0.01,0.119764,2.91819,-0.00328349,0,0.444135,2.09352,
0.011,0.118073,2.91766,-0.00303067,0,0.425448,2.09661,
0.012,0.116461,2.9171,-0.00268286,0,0.407822,2.09946,
0.013,0.114923,2.91653,-0.00224957,0,0.39118,2.10207,
0.014,0.113452,2.91594,-0.00173959,0,0.375451,2.10442,
0.015,0.112045,2.91533,-0.00116104,0,0.360569,2.10654,
0.016,0.110697,2.9147,-0.000521399,0,0.346473,2.10842,
0.017,0.109405,2.91406,0.000172471,0,0.333106,2.11006,
0.018,0.108165,2.91341,0.000914268,0,0.320418,2.11149,
0.019,0.106974,2.91275,0.00169822,0,0.308361,2.11269,
0.02,0.105829,2.91207,0.00251905,0,0.29689,2.11369,
0.021,0.104727,2.91139,0.00337195,0,0.285965,2.11449,
0.022,0.103665,2.9107,0.00425251,0,0.275549,2.11511,
0.023,0.102641,2.91,0.00515674,0,0.265607,2.11555,
0.024,0.101654,2.9093,0.006081,0,0.256109,2.11582,
0.025,0.1007,2.9086,0.00702199,0,0.247025,2.11593,
0.026,0.0997788,2.90789,0.00797671,0,0.238329,2.1159,
0.027,0.0988881,2.90718,0.00894245,0,0.229996,2.11573,
0.028,0.0980264,2.90647,0.00991674,0,0.222003,2.11544,
0.029,0.0971922,2.90575,0.0108974,0,0.214329,2.11502,
0.03,0.0963843,2.90504,0.0118824,0,0.206956,2.1145,
0.031,0.0956014,2.90433,0.0128699,0,0.199866,2.11388,
